name,prompt,negative_prompt,description,category
BASE_Anti_Furry,,"furry, anthro, anthropomorphic, animal body, full fur, fursona, fursuit, kemono, beastman, anthro character",Prevent furry/anthro. Use for strictly human/humanoid fetish content.,BASE
BASE_Format_Landscape,"(landscape composition:1.2), wide scene, horizontal framing, environmental storytelling, wide shot, scenic view","portrait, vertical framing, cropped",Landscape format. 1216x832 or 1344x768. Combos: FETISH_BDSM_Dungeon_Room; NTR scenes.,BASE
BASE_Format_Portrait,"(portrait composition:1.2), vertical framing, subject centered, upper body or face focus, portrait orientation","wide landscape, horizontal, panoramic",Portrait format. 768x1152 or 832x1216. Combos: FETISH_STATE_*; FETISH_HUMILIATION_*.,BASE
BASE_Genderswap_FtM,"(genderswap:1.4), (female to male:1.3), (gender bender:1.2), 1boy, male version, rule 63, male presenting, masculine features, boy version of character, gender bent male","female, girl, feminine, 1girl",FtM genderswap. Combos: FETISH_DOMINATION_Femdom for female-dominant male-receiving scenarios.,BASE
BASE_Genderswap_MtF,"(genderswap:1.4), (male to female:1.3), (gender bender:1.2), 1girl, female version, rule 63, feminine features, girl version of character, gender bent female, feminized","male, boy, masculine, 1boy",MtF genderswap. Combos: FETISH_CORRUPTION_Forced_Femme; FETISH_HUMILIATION_Feminization.,BASE
BASE_Illustrious_Quality,"masterpiece, best quality, very aesthetic, absurdres, newest, (detailed:1.2), (intricate:1.1), BREAK","lowres, (bad anatomy:1.3), (bad hands:1.4), (mutated hands:1.4), (extra fingers:1.5), (fused fingers:1.5), (missing fingers:1.5), text, error, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, (extra limbs:1.5), (missing limbs:1.4), (malformed limbs:1.4), (mutation:1.4), (deformed:1.4), black and white, grayscale, monochrome, desaturated",Illustrious base. CFG 6 | Euler a | Clip Skip 1-2.,BASE
BASE_NoobAI_Quality,"very awa, year 2024, year 2025, newest, source_anime, absurdres, (high resolution:1.1), (intricate details:1.1), BREAK","worst aesthetic, bad aesthetic, lowres, year 2020, year 2021, year 2022, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (fused fingers:1.5), (missing fingers:1.5), (extra limbs:1.5), (malformed limbs:1.4), (bad proportions:1.3), (deformed:1.4), blurry, jpeg artifacts, text, watermark, signature, black and white, grayscale, monochrome, desaturated",NoobAI XL V-Pred base. CFG 1.5-3.0 | Rescale CFG 0.7 | Euler + SGM Uniform | Clip Skip 1.,BASE
BASE_PonyV6_Quality,"score_9, score_8_up, score_7_up, source_anime, rating_explicit, (masterpiece:1.2), (best quality:1.2), absurdres, BREAK","score_4, score_5, score_6, source_cartoon, source_pony, source_furry, 3d, realistic, photorealistic, (bad anatomy:1.3), (bad hands:1.4), (mutated hands:1.4), (extra fingers:1.5), (fused fingers:1.5), (missing fingers:1.5), (extra limbs:1.5), (missing limbs:1.4), (extra legs:1.5), (extra arms:1.5), (malformed limbs:1.4), (bad proportions:1.3), (mutation:1.4), (deformed:1.4), (distorted:1.3), blurry, pixelated, jpeg artifacts, text, watermark, signature, username, black and white, grayscale, monochrome, desaturated",Pony V6 base. CFG 7 | DPM++ 2M Karras | Clip Skip 2.,BASE
ACCESSORY_Ankle_Cuffs,"ankle cuffs, (leg cuffs:1.2), ankle restraints, ankles bound, legs restricted, chained ankles, BDSM ankle wear","free ankles, no restraints",Ankle cuffs. Combos: ACCESSORY_Handcuffs; FETISH_BDSM_Hogtied; POSE_Spread_Legs.,ACCESSORY
ACCESSORY_Blindfold,"blindfold, (eyes covered:1.3), cloth blindfold, eyes obscured, sightless, cannot see, blindfolded, sensory deprivation","no blindfold, eyes visible, open eyes",Blindfold. Sensory deprivation. Combos: FETISH_BDSM_Bondage; FETISH_CONTROL_Orgasm_Control.,ACCESSORY
ACCESSORY_Butt_Plug,"butt plug, (anal plug:1.3), anal toy, plug inserted in ass, decorative tail plug, fox tail, BDSM toy, buttplug","nothing inserted, clean, no toys",Butt plug. Combos: FETISH_PETPLAY_Pet_Tail; FETISH_BDSM_Submission; ACCESSORY_Collar_Chain.,ACCESSORY
ACCESSORY_Chastity_Belt,"(chastity belt:1.4), metal chastity device, locked belt, crotch cage, locked genitals, denial device","unlocked, nude, nothing worn",Chastity belt. Combos: FETISH_CONTROL_Orgasm_Control; FETISH_DOMINATION_Femdom; ACCESSORY_Collar_Chain.,ACCESSORY
ACCESSORY_Collar_Chain,"collar with chain, (chained collar:1.3), leash chain, metal chain from collar, slave collar, chain attached to collar","no collar, no chain, free neck",Collar and chain. Core BDSM accessory. Combos: FETISH_PETPLAY_*; FETISH_BDSM_Submission; FETISH_DOMINATION_*.,ACCESSORY
ACCESSORY_Gag_Ball,"ball gag, (mouth gag:1.3), red ball in mouth, gagged, muffled, cannot speak, BDSM ball gag, strap across face","no gag, open mouth, speaking freely",Ball gag. Combos: FETISH_BDSM_Hogtied; FETISH_DOMINATION_Maledom; FETISH_CONTROL_Non_Con.,ACCESSORY
ACCESSORY_Handcuffs,"handcuffs, (wrist cuffs:1.2), metal handcuffs, wrists restrained, hands cuffed, police cuffs, BDSM cuffs, hands bound","free hands, unbound, uncuffed",Handcuffs. Combos: ACCESSORY_Ankle_Cuffs; FETISH_PUNISHMENT_Restrained; FETISH_CONTROL_Forced_Orgasm.,ACCESSORY
ACCESSORY_Nipple_Clamps,"nipple clamps, (nipple clips:1.3), metal clamps on nipples, BDSM nipple play, clamped nipples, chain between clamps","no clamps, free nipples, no accessories",Nipple clamps. Combos: FETISH_PUNISHMENT_Pain_Play; ACCESSORY_Collar_Chain; FETISH_BDSM_Submission.,ACCESSORY
ACCESSORY_Nipple_Pasties,"1girl, (nipple pasties:1.3), star pasties, heart pasties, adhesive nipple cover, decorative nipple stickers, tassel pasties","nipple clamps, full bra, topless without pasties",Nipple pasties. Combos: FETISH_EXHIBITIONISM_Striptease; FETISH_EXHIBITIONISM_Strip_Club.,ACCESSORY
ACCESSORY_Rope_Shibari,"(shibari:1.4), (rope bondage:1.3), decorative rope binding, kinbaku, body rope pattern, artistic rope restraint, tied with rope, geometric rope pattern on body","free, unbound, no rope, chain",Shibari. More artistic than FETISH_BDSM_Bondage. Combos: LIGHTING_Candlelight; FETISH_BDSM_Suspension.,ACCESSORY
ACCESSORY_Strap_On,"1girl, (strap-on dildo:1.4), (harness:1.3), strap-on harness, dildo harness, wearing strap-on, pegging harness, faux phallus attached","real penis, futa, no harness",Strap-on. Combos: FETISH_DOMINATION_Pegging; FETISH_DOMINATION_Femdom; FETISH_PUNISHMENT_Anal_Forced.,ACCESSORY
ACCESSORY_Vibrator_External,"1girl, (magic wand vibrator:1.3), (hitachi wand:1.2), external vibrator pressed against clit, vibrator held to genitals, buzzing toy on pussy, clitoral stimulator","internal, inserted, wearable",External vibrator. Combos: FETISH_CONTROL_Forced_Orgasm; ACCESSORY_Handcuffs for restraint; FETISH_BDSM_Hogtied.,ACCESSORY
ACCESSORY_Vibrator_Wearable,"wearable vibrator, (sex toy:1.2), vibrating device inserted, stimulator toy, pleasure device, toy in use, remote control toy","no toy, nothing inserted, clean",Wearable vibrator. Remote control play. Combos: FETISH_CONTROL_Orgasm_Control; FETISH_EXHIBITIONISM_Public.,ACCESSORY
ACTION_Anal_Fingering,"(anal fingering:1.4), fingers in ass, finger in anus, digital anal penetration, fingering asshole, anal play with fingers","vaginal fingering, no touching",Anal fingering. Combos: GENITALS_Anus_Focus; ACTION_Penetration_Anal; POSE_Ass_Up_Face_Down.,ACTION
ACTION_Anal_Object_Insertion,"(anal object insertion:1.4), (object in ass:1.3), unusual anal insertion, improvised anal toy, bottle insertion, non-standard anal penetration","normal toy, butt plug, beads, fingers only, vaginal",Non-standard anal insertion. Combos: GENITALS_Anal_Gaping; THEME_BDSM_Pain; SCENE_Dungeon_Basement.,ACTION
ACTION_Angry_Dragon,"1girl, oral sex, (cum in mouth:1.3), (snorting cum:1.2), cum from nose, shocked expression, overwhelmed, liquid from nose after oral, cum reaction","clean, no cum, dry, mild",Angry dragon sex act. Combos: ACTION_Deepthroat; ACTION_Oral_Blowjob; STATE_Surprised; FLUIDS_Excessive_Cum.,ACTION
ACTION_Armpitjob,"1girl, (armpitjob:1.3), cock in armpit, penis in armpit, armpit sex, axillary sex, arm pit fuck, underarm sex","penetration, oral, normal positions",Armpitjob. Combos: POSE_Arched_Back; CAMERA_Full_Body. Niche but consistent.,ACTION
ACTION_Ass_Worship,"(ass worship:1.4), (kissing ass:1.3), licking ass cheeks, face pressed into ass, nuzzling butt, adoring ass, tongue on ass cheeks, butt adoration","no contact, standing, ignoring",Ass worship — kissing/licking/adoring ass (broader than rimjob). Combos: ACTION_Facesitting; BODY_Thicc_Voluptuous; THEME_Femdom; CAMERA_Ass_Focus.,ACTION
ACTION_Assjob,"1girl, (assjob:1.4), cock between ass cheeks, penis between buttocks, ass rub, ass fuck without penetration, rubbing against ass, dry hump ass","penetration, oral, vaginal",Assjob. Combos: POSE_Bent_Over; CAMERA_Ass_Focus; BODY_Thicc_Voluptuous.,ACTION
ACTION_Ball_Sucking,"(sucking testicles:1.4), (licking balls:1.3), mouth on balls, testicle worship, ball licking, tongue on testicles, oral on balls, scrotum worship","no contact, blowjob only, no balls",Testicle sucking/licking. Combos: GENITALS_Testicles_Large; ACTION_Oral_Blowjob; CAMERA_From_Below.,ACTION
ACTION_Blowjob_Double,"(2girls:1.2), two girls blowjob, double oral, (two mouths on cock:1.3), dual fellatio, both licking shaft, tongue on cock from both sides, double blowjob","single oral, solo",Double BJ two girls on one cock. Combos: GROUP_FFM; CAMERA_POV; CAMERA_Side_Profile.,ACTION
