name,prompt,negative_prompt,description,category
BASE_Enhance,"(highly detailed:1.3), (intricate details:1.2), (sharp focus:1.2), (fine texture:1.2), (masterful rendering:1.1), complex detail, crisp edges, BREAK","blurry, soft focus, simple, plain, low detail, sketch","Detail booster. Stack on top of any quality BASE. Adds sharpness, texture complexity, fine rendering. Reduce weight to 0.9 if over-sharpening.",BASE
BASE_Format_Album_Cover,"album cover composition, square format, centered subject, album art aesthetic, music cover art, bold composition, graphic album design","landscape, random crop, text-heavy",Album cover square composition. Combos: PALETTE styles; STYLE_Modern_Glossy; LIGHTING_Studio_Three_Point. Good for profile images.,BASE
BASE_Format_Character_Sheet,"character sheet, character design turnaround, front and side view, multiple angles, reference sheet, character reference, design sheet, neutral pose clean background","single angle, dramatic lighting, background scene",Character design reference sheet. Combos: STYLE_Concept_Art; BASE styles. Essential for LoRA dataset prep and character consistency.,BASE
BASE_Format_Poster_Vertical,"movie poster composition, (portrait poster format:1.2), dramatic poster layout, hero shot poster, title space at top, centered subject, poster framing","wide landscape, random composition",Movie poster framing. Combos: LIGHTING_Dramatic_Shadow; STYLE_Concept_Art; COMPOSITION_Symmetry. Good for social media vertical.,BASE
BASE_Illustrious_Quality,"masterpiece, best quality, very aesthetic, absurdres, newest, (detailed:1.2), (intricate:1.1), BREAK","lowres, (bad anatomy:1.3), (bad hands:1.4), (mutated hands:1.4), (extra fingers:1.5), (fused fingers:1.5), (missing fingers:1.5), text, error, cropped, worst quality, low quality, jpeg artifacts, signature, watermark, blurry, (extra limbs:1.5), (malformed limbs:1.4), (mutation:1.4), (deformed:1.4), nsfw, explicit, nude, naked",Illustrious XL. CFG 6; Euler a; Clip Skip 1-2. Excels at soft aesthetics; expressive eyes; multi-character. Conflicts: do not mix with Pony or NoobAI base.,BASE
BASE_NoobAI_Quality,"very awa, year 2024, year 2025, newest, source_anime, absurdres, (high resolution:1.1), (intricate details:1.1), BREAK","worst aesthetic, bad aesthetic, lowres, year 2020, year 2021, year 2022, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (fused fingers:1.5), (extra limbs:1.5), (malformed limbs:1.4), (bad proportions:1.3), (deformed:1.4), blurry, jpeg artifacts, text, watermark, nsfw, explicit, nude, naked",NoobAI XL V-Pred. CFG 1.5-3.0; Rescale CFG 0.7; Euler (NOT Euler a); SGM Uniform; Clip Skip 1. Excels at skin; lighting; action game renders. Conflicts: do not mix with Pony or Illustrious base.,BASE
BASE_PonyV6_Quality,"score_9, score_8_up, score_7_up, source_anime, (masterpiece:1.2), (best quality:1.2), absurdres, BREAK","score_4, score_5, score_6, source_cartoon, source_pony, source_furry, 3d, realistic, photorealistic, (bad anatomy:1.3), (bad hands:1.4), (mutated hands:1.4), (extra fingers:1.5), (fused fingers:1.5), (missing fingers:1.5), (extra limbs:1.5), (missing limbs:1.4), (malformed limbs:1.4), (bad proportions:1.3), (mutation:1.4), (deformed:1.4), blurry, jpeg artifacts, text, watermark, nsfw, explicit, nude, naked",Pony Diffusion V6. CFG 7; DPM++ 2M Karras; Clip Skip 2. Combos: any. Conflicts: do not mix with Illustrious or NoobAI base.,BASE
ACCESSORY_Bag,"(bag:1.2), handbag, shoulder bag, school bag, backpack, stylish purse",no bag,Bag prop. Combos: OUTFIT_Casual; OUTFIT_School_Uniform; OUTFIT_Business_Suit. Adds realism.,ACCESSORY
ACCESSORY_Body_Piercings,"(piercings:1.2), ear piercings, multiple ear piercings, nose ring, industrial piercing, helix piercing, body jewelry, studs and rings","plain ears, no jewelry",Piercings/body jewelry. Combos: OUTFIT_Streetwear; HAIR_Undercut; MOOD_Confident. Adds edge to any archetype.,ACCESSORY
ACCESSORY_Crown_Tiara,"(crown:1.3), tiara, royal crown, golden crown, jeweled tiara, diadem, princess crown","commoner, no headpiece",Royal crown. Combos: ARCHETYPE_Demon_Queen; OUTFIT_Evening_Dress; MOOD_Elegant. Universal BODY.,ACCESSORY
ACCESSORY_Fantasy_Weapon,"(fantasy weapon:1.3), sword, magic staff, bow and arrow, enchanted blade, battle axe, glowing weapon","no weapons, pacifist, cooking, reading",Fantasy weapon prop. Combos: ARCHETYPE_Warrior; ACTIVITY_Fighting_Pose; MOOD_Fierce. Conflicts: ACTIVITY_Cooking.,ACCESSORY
ACCESSORY_Glasses,"(glasses:1.2), eyeglasses, spectacles, thin frame glasses, round glasses, semi-rimless","no glasses, contacts",Glasses accessory. Combos: ARCHETYPE_Office_Lady; ACTIVITY_Reading; MOOD_Mysterious. Universal BODY.,ACCESSORY
ACCESSORY_Hat,"(hat:1.2), stylish hat, baseball cap, beret, wide-brim hat, sun hat, fashionable headwear","no hat, bare head",Hat accessory. Combos: OUTFIT_Casual; OUTFIT_Streetwear; SCENE_Beach. Conflicts: ARCHETYPE_Witch (use their specific hat).,ACCESSORY
ACCESSORY_Headphones,"(headphones:1.2), over-ear headphones, wireless headphones, music listener, around neck or on ears",no headphones,Headphones. Combos: OUTFIT_Streetwear; ACTIVITY_Gaming; MOOD_Playful. Modern aesthetic.,ACCESSORY
ACCESSORY_Jewelry_Elegant,"(elegant jewelry:1.2), necklace, pearl earrings, bracelet, ring, fine jewelry, crystal accessories","no accessories, rough gear",Fine jewelry. Combos: OUTFIT_Evening_Dress; MOOD_Elegant; BODY_Hourglass_Perfect. Conflicts: ARCHETYPE_Warrior.,ACCESSORY
ACCESSORY_Katana,"(katana:1.3), japanese sword, sheathed katana, drawn katana, blade, samurai sword, sword at waist","no weapon, magic staff",Katana sword. More specific than Fantasy_Weapon. Combos: ARCHETYPE_Kunoichi; SCENE_Japanese_Night; ERA_Feudal_Japan. Conflicts: ACCESSORY_Fantasy_Weapon (choose one).,ACCESSORY
ACCESSORY_Makeup_Eyeliner_Cat,"(cat eye liner:1.3), winged eyeliner, cat eyeliner, sharp liner wing, dramatic liner, kohl eyeliner, eyeliner flick","no makeup, natural, plain",Cat eye makeup. Combos: ARCHETYPE_Office_Lady; MOOD_Confident; EXPRESSION_Smug. Sharp and iconic.,ACCESSORY
ACCESSORY_Makeup_Glossy_Lips,"(glossy lips:1.2), lip gloss, shiny lips, plump glossy lips, wet-look lips, high shine lip color, lip gloss shine","matte lips, no makeup",Glossy lip makeup. Combos: ARCHETYPE_Idol; OUTFIT_Evening_Dress; MOOD_Playful.,ACCESSORY
ACCESSORY_Makeup_Natural,"(natural makeup:1.2), light makeup, minimal makeup, natural look, soft foundation, nude lip, barely-there makeup, fresh face makeup","heavy makeup, gothic, dramatic",Natural minimal makeup. Combos: any ARCHETYPE for everyday look. Universal — enhances realism without drama.,ACCESSORY
ACCESSORY_Makeup_Soft_Blush,"(soft blush:1.2), rosy cheeks, pink cheek blush, gentle blush makeup, peachy blush, blusher on cheeks","no makeup, dramatic eyeshadow",Soft blush. Combos: MOOD_Shy; ARCHETYPE_Idol; EXPRESSION_Shy_Blush. Amplifies cute mood.,ACCESSORY
ACCESSORY_Mask,"(mask:1.2), face mask, kitsune mask, half mask, decorative mask, masquerade mask","bare face, no mask",Mask accessory. Combos: ARCHETYPE_Kunoichi; ERA_Victorian; SCENE_Ballroom.,ACCESSORY
ACCESSORY_Respirator,"(respirator mask:1.2), gas mask worn low, cyberpunk respirator, face respirator, techwear mask","bare face, no mask",Cyberpunk/techwear mask. Combos: OUTFIT_Cyberpunk; SCENE_Cyberpunk_City; ERA_Post_Apocalyptic.,ACCESSORY
ACCESSORY_Scarf,"(scarf:1.2), cozy scarf, winter scarf, flowing scarf, neck scarf, warm wool scarf","summer, bare neck",Scarf accessory. Combos: SEASON_Winter_Snow; OUTFIT_Winter_Coat; MOOD_Serene. Conflicts: ARCHETYPE_Kunoichi.,ACCESSORY
ACCESSORY_Tattoos,"(tattoos:1.2), visible tattoos, arm tattoos, decorated skin, inked, tattoo art on skin","plain skin, no tattoos",Tattoo aesthetic. Combos: OUTFIT_Streetwear; MOOD_Confident; BODY_Muscular_Fit.,ACCESSORY
ACCESSORY_Wings,"(large wings:1.3), feathered wings, angel wings, demon wings, dragon wings, spread wings, wings framing figure","no wings, plain back",Wings accessory. Combos: RACE_Angel; RACE_Demon_Girl; ACTIVITY_Gazing_Horizon. Adds strong visual silhouette.,ACCESSORY
ACTIVITY_Archery,"(archery:1.2), drawing bow, arrow nocked, archer stance, longbow or compound, aiming, forest target, hunter skill","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Archery activity. Combos: ARCHETYPE_Elf_Ranger; ARCHETYPE_Male_Bounty_Hunter.,ACTIVITY
ACTIVITY_Arguing,"(heated argument:1.2), pointing finger, confrontation, verbal conflict, debate, two people disagreeing, tense conversation","peaceful, calm, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Argument/confrontation activity. Combos: CHARACTER_Group_Shot; THEME_Romance_Drama.,ACTIVITY
ACTIVITY_Celebrating,"(celebrating:1.2), party moment, raising glass, confetti, jubilation, group celebration, festival joy, cheering crowd","sad, solemn, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Celebration activity. Combos: ATMOSPHERE_Confetti; MOOD_Excited; SCENE_Ballroom.,ACTIVITY
ACTIVITY_Cooking,"(cooking:1.2), kitchen activity, holding ladle or spatula, apron, mixing bowl, culinary, food preparation","outdoor battle, fantasy",Cooking activity. Combos: ARCHETYPE_Maid; OUTFIT_Casual; SCENE_Kitchen. Conflicts: ACTIVITY_Fighting_Pose.,ACTIVITY
ACTIVITY_Crafting,"(crafting or building:1.2), hands working, making something, artisan at work, creating with hands, workshop activity, building skill","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Crafting/building activity. Combos: ARCHETYPE_Male_Blacksmith; SCENE_Renaissance_Workshop.,ACTIVITY
ACTIVITY_Dancing,"(dancing:1.3), dynamic dance pose, flowing movement, arms raised, hair flowing, mid-dance, graceful motion","static, sitting, sleeping, stiff pose",Dance pose. Combos: ARCHETYPE_Idol; OUTFIT_Evening_Dress; LIGHTING_Neon_Colorful. Conflicts: ACTIVITY_Sitting_Relaxed.,ACTIVITY
ACTIVITY_Fighting_Pose,"(battle pose:1.3), combat stance, sword raised, dynamic action, mid-battle, weapon in hand, heroic action pose","sitting, relaxed, cooking, reading",Combat action pose. Combos: ARCHETYPE_Warrior; ARCHETYPE_Kunoichi; MOOD_Fierce. Conflicts: ACTIVITY_Sitting_Relaxed.,ACTIVITY
ACTIVITY_Gaming,"playing video games, (controller in hands:1.2), gamer, focused on screen, headset optional, sitting cross-legged","outdoor, nature, dancing",Gaming activity. Combos: OUTFIT_Casual; MOOD_Playful; SCENE_Bedroom. Conflicts: ACTIVITY_Fighting_Pose.,ACTIVITY
ACTIVITY_Gazing_Horizon,"looking into the distance, (contemplative pose:1.2), hand shielding eyes, wind in hair, standing at edge, vista view","indoor, sitting still, reading",Cinematic vista gaze. Combos: SCENE_Mountain_Top; LIGHTING_Golden_Hour_Sunset; MOOD_Melancholic. Universal BODY.,ACTIVITY
ACTIVITY_Horseback_Riding,"(riding a horse:1.2), on horseback, galloping, cavalry charge, horse and rider, equestrian, riding through landscape","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Horseback riding activity. Combos: ANIMAL_Horse; SCENE_Battlefield_Ancient; SCENE_Wild_West_Town.,ACTIVITY
ACTIVITY_Investigating,"(investigation:1.2), examining clues, looking closely, detective work, searching scene, magnifying glass, piecing together mystery","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Investigating/detective activity. Combos: ARCHETYPE_Male_Detective; THEME_Mystery_Noir.,ACTIVITY
ACTIVITY_Magic_Casting,"(magic casting:1.3), spell circle, magical energy, glowing hands, arcane symbols, mystical aura, channeling power","mundane activity, cooking, gaming",Spellcasting. Combos: ARCHETYPE_Witch; ARCHETYPE_Magical_Girl; LIGHTING_Volumetric_Rays. Conflicts: ACTIVITY_Cooking.,ACTIVITY
ACTIVITY_Meditating,"(meditation:1.2), cross-legged, eyes closed, inner peace, meditative pose, zen, floating slightly, calm aura, spiritual practice","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Meditation activity. Combos: ARCHETYPE_Monk; SCENE_Ancient_Temple_Interior; MOOD_Serene.,ACTIVITY
ACTIVITY_Painting,"(painting:1.2), artist at easel, paintbrush in hand, canvas, palette, art studio, paint smudges, creating artwork, artist at work","gaming, fighting, cooking",Painting/art activity. Combos: SCENE_Art_Studio; ARCHETYPE_Artist; OUTFIT_Casual with apron.,ACTIVITY
ACTIVITY_Reading,"reading a book, (book in hands:1.2), sitting with book, open book, studious, glasses optional, cozy reading pose","dancing, fighting, dynamic pose",Reading pose. Combos: OUTFIT_Casual; MOOD_Serene; SCENE_Library; SEASON_Autumn_Leaves. Conflicts: ACTIVITY_Fighting_Pose.,ACTIVITY
ACTIVITY_Running,"(running:1.3), mid-sprint, dynamic run pose, hair flying back, motion blur implied, energetic, athletic movement","sitting, still, static pose",Running action. Combos: OUTFIT_Sportswear; BODY_Muscular_Fit; SCENE_Forest_Outdoor. Conflicts: ACTIVITY_Sitting_Relaxed.,ACTIVITY
ACTIVITY_Singing,"(singing:1.3), performing a song, microphone, mouth open singing, eyes closed while singing, musical performance, concert singing, passionate singing","silent, reading, gaming",Singing performance. Combos: ARCHETYPE_Idol; ARCHETYPE_Rockstar; SCENE_Stage_Performance.,ACTIVITY
ACTIVITY_Sitting_Relaxed,"sitting, (relaxed pose:1.2), comfortable seated position, legs crossed, casual sitting, at ease, resting","dynamic, fighting, dancing, running",Calm seated pose. Combos: MOOD_Serene; OUTFIT_Casual; SCENE_Cafe. Conflicts: ACTIVITY_Fighting_Pose.,ACTIVITY
ACTIVITY_Sleeping,"(sleeping:1.2), asleep, peaceful sleep, curled up sleeping, eyes closed, resting, cozy sleep, pillow, sleeping soundly","standing, active, running, fighting",Sleeping/resting. Combos: SCENE_Bedroom; OUTFIT_Oversized_Hoodie; MOOD_Serene. Cozy atmosphere.,ACTIVITY
ACTIVITY_Stretching,"(stretching:1.2), yoga pose, flexible pose, split stretch, reaching forward, limber, warm-up pose, gymnastic","stiff, rigid, sitting still",Stretch / yoga. Combos: OUTFIT_Sportswear; BODY_Muscular_Fit; SCENE_Gym. Conflicts: ACTIVITY_Reading.,ACTIVITY
ACTIVITY_Swimming,"(swimming:1.2), underwater, swimmer, water splash, floating in water, backstroke, pool, ocean swimming, submerged","indoor dry, desert, winter cold",Swimming activity. Combos: SCENE_Hot_Spring; LIGHTING_Underwater; OUTFIT_Swimwear.,ACTIVITY
