name,prompt,negative_prompt,description,category
BASE_Anti_Furry,,"furry, anthro, anthropomorphic, animal body, full fur, fursona, fursuit, kemono, beastman, anthro character",SELECT THIS to prevent furry/anthro characters. Does not affect FURRY category styles. Use for strictly human/elf/humanoid content.,BASE
BASE_Anti_Futa,,"futanari, futa, dickgirl, penis, cock, erection, testicles, balls, futa cock, dickgirl",SELECT THIS to prevent futanari in generation. Does not affect futa-specific styles. Use with any female-only content.,BASE
BASE_Enhance,"(high detail:1.2), (sharp focus:1.1), intricate details, fine textures, crisp edges, refined rendering, enhanced clarity, detailed skin texture, detailed eyes, detailed hair strands, BREAK","blurry, out of focus, low detail, flat shading, low resolution, pixelated, muddy colors, washed out, noise, compression artifacts",Detail enhancer. Stack with any BASE_*_Quality to push detail level higher. Does not replace quality BASE — use alongside it. Combos: any style combination where you want extra crispness.,BASE
BASE_Format_Landscape,"(landscape composition:1.2), wide scene, horizontal framing, environmental storytelling, wide shot, scenic view","portrait, vertical framing, cropped",Landscape/wide format. Use with 1216x832 or 1344x768 resolution. Combos: SCENE_*; COMPOSITION_Negative_Space.,BASE
BASE_Format_Portrait,"(portrait composition:1.2), vertical framing, subject centered, upper body or face focus, portrait orientation","wide landscape, horizontal, panoramic",Portrait format hints. Use with 768x1152 or 832x1216 resolution. Combos: CAMERA_Face_Close; CAMERA_Three_Quarter.,BASE
BASE_Genderswap_FtM,"(genderswap:1.4), (female to male:1.3), (gender bender:1.2), 1boy, male version, rule 63, male presenting, masculine features, boy version of character, gender bent male","female, girl, feminine, 1girl",Female-to-male genderswap. Makes any character male. Combos: any ARCHETYPE for M version. Remove female BODY styles.,BASE
BASE_Genderswap_MtF,"(genderswap:1.4), (male to female:1.3), (gender bender:1.2), 1girl, female version, rule 63, feminine features, girl version of character, gender bent female, feminized","male, boy, masculine, 1boy",Male-to-female genderswap. Feminizes any character. Combos: any ARCHETYPE for F version. Add female BODY styles.,BASE
BASE_Illustrious_Quality,"masterpiece, best quality, very aesthetic, absurdres, newest, (detailed:1.2), (intricate:1.1), BREAK","lowres, (bad anatomy:1.3), (bad hands:1.4), (mutated hands:1.4), (extra fingers:1.5), (fused fingers:1.5), (missing fingers:1.5), text, error, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, (extra limbs:1.5), (missing limbs:1.4), (malformed limbs:1.4), (mutation:1.4), (deformed:1.4), black and white, grayscale, monochrome, desaturated",Base quality tags for Illustrious models,BASE
BASE_NoobAI_Quality,"very awa, year 2024, year 2025, newest, source_anime, absurdres, (high resolution:1.1), (intricate details:1.1), BREAK","worst aesthetic, bad aesthetic, lowres, year 2020, year 2021, year 2022, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (fused fingers:1.5), (missing fingers:1.5), (extra limbs:1.5), (malformed limbs:1.4), (bad proportions:1.3), (deformed:1.4), blurry, jpeg artifacts, text, watermark, signature, black and white, grayscale, monochrome, desaturated",Base quality for NoobAI XL V-Pred. Use CFG 1.5-3.0 + Rescale CFG 0.7 + Euler or DPM++ 2M + SGM Uniform,BASE
BASE_PonyV6_Quality,"score_9, score_8_up, score_7_up, source_anime, rating_explicit, (masterpiece:1.2), (best quality:1.2), absurdres, BREAK","score_4, score_5, score_6, source_cartoon, source_pony, source_furry, 3d, realistic, photorealistic, (bad anatomy:1.3), (bad hands:1.4), (mutated hands:1.4), (extra fingers:1.5), (fused fingers:1.5), (missing fingers:1.5), (extra limbs:1.5), (missing limbs:1.4), (extra legs:1.5), (extra arms:1.5), (malformed limbs:1.4), (bad proportions:1.3), (mutation:1.4), (deformed:1.4), (distorted:1.3), blurry, pixelated, jpeg artifacts, text, watermark, signature, username, black and white, grayscale, monochrome, desaturated",Base quality tags for Pony Diffusion V6,BASE
ACCESSORY_Glasses_Opaque,"opaque glasses, (dark lens glasses:1.2), black tinted glasses, non-transparent lenses, sunglasses, shaded glasses, covering eyes stylishly","clear glasses, no glasses, contacts, plain",Opaque dark glasses,ACCESSORY
ACCESSORY_Mask_Upper_Face,"(mask covering eyes:1.3), (upper face mask:1.2), masquerade mask, eyes hidden behind mask, mouth visible, lower face exposed, anonymous mask, venetian mask","full face visible, no mask, lower face mask, blindfold","Mask covering upper face (eyes/forehead), mouth and chin exposed. Different from ACCESSORY_Blindfold (just eyes). Combos: THEME_Prostitution; THEME_Non_Con; ARCHETYPE_Dominatrix.",ACCESSORY
