name,prompt,negative_prompt,description,category
BASE_Illustrious_Quality,"masterpiece, best quality, very aesthetic, absurdres, newest, (detailed:1.2), (intricate:1.1), BREAK","lowres, (bad anatomy:1.3), (bad hands:1.4), (mutated hands:1.4), (extra fingers:1.5), (fused fingers:1.5), (missing fingers:1.5), text, error, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, (extra limbs:1.5), (missing limbs:1.4), (malformed limbs:1.4), (mutation:1.4), (deformed:1.4), black and white, grayscale, monochrome, desaturated",Base quality tags for Illustrious models. CFG 6 | Euler a | Clip Skip 1-2.,BASE
BASE_NoobAI_Quality,"very awa, year 2024, year 2025, newest, source_anime, absurdres, (high resolution:1.1), (intricate details:1.1), BREAK","worst aesthetic, bad aesthetic, lowres, year 2020, year 2021, year 2022, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (fused fingers:1.5), (missing fingers:1.5), (extra limbs:1.5), (malformed limbs:1.4), (bad proportions:1.3), (deformed:1.4), blurry, jpeg artifacts, text, watermark, signature, black and white, grayscale, monochrome, desaturated",Base quality for NoobAI XL V-Pred. CFG 1.5-3.0 | Rescale CFG 0.7 | Euler + SGM Uniform | Clip Skip 1.,BASE
BASE_PonyV6_Quality,"score_9, score_8_up, score_7_up, source_anime, rating_explicit, (masterpiece:1.2), (best quality:1.2), absurdres, BREAK","score_4, score_5, score_6, source_cartoon, source_pony, source_furry, 3d, realistic, photorealistic, (bad anatomy:1.3), (bad hands:1.4), (mutated hands:1.4), (extra fingers:1.5), (fused fingers:1.5), (missing fingers:1.5), (extra limbs:1.5), (missing limbs:1.4), (extra legs:1.5), (extra arms:1.5), (malformed limbs:1.4), (bad proportions:1.3), (mutation:1.4), (deformed:1.4), (distorted:1.3), blurry, pixelated, jpeg artifacts, text, watermark, signature, username, black and white, grayscale, monochrome, desaturated",Base quality tags for Pony Diffusion V6. CFG 7 | DPM++ 2M Karras | Clip Skip 2.,BASE
BASE_Anti_Furry,,"furry, anthro, anthropomorphic, animal body, full fur, fursona, fursuit, kemono, beastman, anthro character",SELECT THIS to prevent furry/anthro characters. Does not affect RACE fantasy girls. Use for strictly human/elf/humanoid content.,BASE
BASE_Format_Landscape,"(landscape composition:1.2), wide scene, horizontal framing, environmental storytelling, wide shot, scenic view","portrait, vertical framing, cropped",Landscape/wide format. Use with 1216x832 or 1344x768 resolution. Combos: FUTA_SCENE_*.,BASE
BASE_Format_Portrait,"(portrait composition:1.2), vertical framing, subject centered, upper body or face focus, portrait orientation","wide landscape, horizontal, panoramic",Portrait format hints. Use with 768x1152 or 832x1216. Combos: FUTA_ARCHETYPE_*; FEMBOY_ARCHETYPE_*.,BASE
BASE_Genderswap_FtM,"(genderswap:1.4), (FtM:1.3), (gender bender:1.2), 1boy, male version, rule 63, male presenting, masculine features, boy version of character, gender bent male","female, girl, feminine, 1girl",Female-to-male genderswap. Combos: FEMBOY_ARCHETYPE_* for femboy FtM scenarios.,BASE
BASE_Genderswap_MtF,"(genderswap:1.4), (MtF:1.3), (gender bender:1.2), feminized version, rule 63, feminine features, feminized version of character, gender bent feminized, feminized","male, boy, masculine, 1boy",Male-to-female genderswap. Combos: FUTA_BODY_* for surprise futa reveal scenarios.,BASE
ACTION_FEMBOY_Anal_Receiving,"1boy, femboy, (receiving anal:1.4), (cock in femboy ass:1.4), being fucked anally, femboy as bottom, penetrated from behind, anal penetration on femboy","female, giving, femboy on top, femboy penetrating",Femboy receiving anal. Core femboy action. Combos: FEMBOY_THEME_Sub; FEMBOY_STATE_Ahegao.,ACTION
ACTION_FEMBOY_Blowjob_Giving,"1boy, femboy, (giving blowjob:1.4), (femboy mouth on cock:1.3), sucking cock, femboy on knees sucking, fellatio by femboy, femboy head bobbing on shaft","female, receiving blowjob, femboy getting sucked",Femboy GIVING blowjob. Combos: FEMBOY_POSE_On_Knees; FEMBOY_STATE_Aroused.,ACTION
