name,prompt,negative_prompt,description,category
BASE_Anti_Futa,,"futanari, futa, dickgirl, penis, cock, erection, testicles, balls, futa cock, dickgirl",SELECT THIS to prevent futanari in generation. Does not affect futa-specific styles. Use with any female-only content.,BASE
BASE_Enhance,"(high detail:1.2), (sharp focus:1.1), intricate details, fine textures, crisp edges, refined rendering, enhanced clarity, detailed skin texture, detailed eyes, detailed hair strands, BREAK","blurry, out of focus, low detail, flat shading, low resolution, pixelated, muddy colors, washed out, noise, compression artifacts",Detail enhancer. Stack with any BASE_*_Quality to push detail level higher. Does not replace quality BASE — use alongside it. Combos: any style combination where you want extra crispness.,BASE
BASE_Format_Landscape,"(landscape composition:1.2), wide scene, horizontal framing, environmental storytelling, wide shot, scenic view","portrait, vertical framing, cropped",Landscape/wide format. Use with 1216x832 or 1344x768 resolution. Combos: SCENE_*; COMPOSITION_Negative_Space.,BASE
BASE_Format_Portrait,"(portrait composition:1.2), vertical framing, subject centered, upper body or face focus, portrait orientation","wide landscape, horizontal, panoramic",Portrait format hints. Use with 768x1152 or 832x1216 resolution. Combos: CAMERA_Face_Close; CAMERA_Three_Quarter.,BASE
BASE_Genderswap_FtM,"(genderswap:1.4), (female to male:1.3), (gender bender:1.2), 1boy, male version, rule 63, male presenting, masculine features, boy version of character, gender bent male","female, girl, feminine, 1girl",Female-to-male genderswap. Makes any character male. Combos: any ARCHETYPE for M version. Remove female BODY styles.,BASE
BASE_Genderswap_MtF,"(genderswap:1.4), (male to female:1.3), (gender bender:1.2), 1girl, female version, rule 63, feminine features, girl version of character, gender bent female, feminized","male, boy, masculine, 1boy",Male-to-female genderswap. Feminizes any character. Combos: any ARCHETYPE for F version. Add female BODY styles.,BASE
BASE_Illustrious_Quality,"masterpiece, best quality, very aesthetic, absurdres, newest, (detailed:1.2), (intricate:1.1), BREAK","lowres, (bad anatomy:1.3), (bad hands:1.4), (mutated hands:1.4), (extra fingers:1.5), (fused fingers:1.5), (missing fingers:1.5), text, error, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, (extra limbs:1.5), (missing limbs:1.4), (malformed limbs:1.4), (mutation:1.4), (deformed:1.4), black and white, grayscale, monochrome, desaturated",Base quality tags for Illustrious models,BASE
BASE_NoobAI_Quality,"very awa, year 2024, year 2025, newest, source_anime, absurdres, (high resolution:1.1), (intricate details:1.1), BREAK","worst aesthetic, bad aesthetic, lowres, year 2020, year 2021, year 2022, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (fused fingers:1.5), (missing fingers:1.5), (extra limbs:1.5), (malformed limbs:1.4), (bad proportions:1.3), (deformed:1.4), blurry, jpeg artifacts, text, watermark, signature, black and white, grayscale, monochrome, desaturated",Base quality for NoobAI XL V-Pred. Use CFG 1.5-3.0 + Rescale CFG 0.7 + Euler or DPM++ 2M + SGM Uniform,BASE
BASE_PonyV6_Quality,"score_9, score_8_up, score_7_up, source_anime, rating_explicit, (masterpiece:1.2), (best quality:1.2), absurdres, BREAK","score_4, score_5, score_6, source_cartoon, source_pony, source_furry, 3d, realistic, photorealistic, (bad anatomy:1.3), (bad hands:1.4), (mutated hands:1.4), (extra fingers:1.5), (fused fingers:1.5), (missing fingers:1.5), (extra limbs:1.5), (missing limbs:1.4), (extra legs:1.5), (extra arms:1.5), (malformed limbs:1.4), (bad proportions:1.3), (mutation:1.4), (deformed:1.4), (distorted:1.3), blurry, pixelated, jpeg artifacts, text, watermark, signature, username, black and white, grayscale, monochrome, desaturated",Base quality tags for Pony Diffusion V6,BASE
ACTION_Biting_Nape,"(biting nape:1.4), (neck bite:1.3), mating bite, scruff bite, dominance bite, teeth on neck, biting during sex, claiming bite, love bite on neck","no biting, gentle, no contact neck",Biting nape / neck — dominance and mating instinct. Combos: FURRY_ACTION_Mounting; FURRY_THEME_Pack_Alpha; FURRY_Wolf_Anthro.,ACTION
ACTION_Coiling,"(coiled around partner:1.4), (snake coils:1.3), body wrapped in coils, constricting gently, serpentine embrace, naga coil hold, squeezed in coils, tail loop around body","no tail, no coils, separate, human legs",Snake/naga coiling around partner. Combos: FURRY_Snake_Naga; FURRY_THEME_Predator_Prey; intimate restraint.,ACTION
ACTION_Egg_Insertion,"(egg insertion:1.4), (laying eggs inside:1.3), ovipositor, egg transfer, inserting eggs into partner, eggs entering body, egg bulge passing through, egg deposit","no eggs, mammal, normal sex, cum",Egg insertion / oviposition (furry-specific). Combos: FURRY_GENITALS_Egg_Laying; FURRY_Dragon_Anthro; FURRY_Bird_Harpy; FURRY_Snake_Naga.,ACTION
ACTION_Grooming,"(grooming:1.3), (licking fur:1.2), mutual grooming, cleaning partner, tongue bath, fur licking, intimate grooming, animal grooming behavior, preening","fighting, separate, ignoring, no contact",Grooming / licking partner — intimate animal bonding. Combos: FURRY_Cat_Anthro; FURRY_THEME_Pack_Bond; FURRY_ACTION_Long_Tongue.,ACTION
ACTION_Heat_Presenting,"(presenting in heat:1.4), (heat display:1.3), tail raised, genital display, lordosis, back arched offering, submission presenting, estrus display, in heat posture","standing normal, ignoring, no arousal, uninterested",Heat presenting — instinctive mating display. Combos: FURRY_THEME_Heat_Rut; POSE_All_Fours_Display; FURRY_ACTION_Scent_Marking.,ACTION
ACTION_Knotting,"(knotting:1.5), (knot insertion:1.4), pushing knot inside, knot stretching entrance, knot popping in, locking with knot, canine mating, breeding tie","pulled out, no knot, human, gentle, separated",Knotting — inserting/locking canine knot. THE iconic furry sex act. Combos: FURRY_GENITALS_Knot; FURRY_GENITALS_Cum_Knot_Lock.,ACTION
ACTION_Long_Tongue,"(long tongue:1.4), (prehensile tongue:1.3), extremely long tongue, tongue wrapped around, inhuman tongue length, thick long tongue, tongue extending far","short tongue, normal tongue, no tongue",Extremely long / prehensile tongue. Combos: FURRY_Frog_Anthro; FURRY_Snake_Naga; FURRY_Dragon_Anthro; ACTION_Cunnilingus.,ACTION
ACTION_Mounting,"(mounting:1.4), (mounted from behind:1.3), animal mating position, mounting partner, on top mounting, primal mounting, beast mount, feral mating stance","face to face, missionary, standing, side by side",Primal mounting — animal-style mating. Combos: FURRY_THEME_Primal; FURRY_THEME_Mating; POSE_Doggystyle.,ACTION
ACTION_Nesting,"(nesting:1.3), (building nest:1.2), cozy nest, blanket nest, pillow nest, maternal nesting, nesting instinct, egg nest, brooding over nest","outdoor, bare floor, standing, no bed",Nesting behavior. Combos: FURRY_Bird_Harpy; FURRY_Dragon_Anthro; FURRY_GENITALS_Egg_Laying; FURRY_THEME_Mating.,ACTION
ACTION_Pawjob,"(pawjob:1.4), (paw on cock:1.3), furry handjob, soft paw pads stroking, paw rubbing shaft, animal hand on penis, padded paw pleasuring","human hand, no paws, fingers, footjob",Pawjob — handjob with paws. Combos: any species with paws; FURRY_BODY_Fluffy (soft pads).,ACTION
ACTION_Purring,"(purring:1.3), (vibrating purr:1.2), contented purring, purr during sex, feline satisfaction, rumbling chest purr, pleasure purring, cat purr vibration","growling, hissing, silent, barking","Purring — feline contentment during intimacy. Visual cue: vibration lines, contented expression. Combos: FURRY_Cat_Anthro; FURRY_Panther_Anthro; FURRY_Lion_Anthro.",ACTION
ACTION_Scent_Marking,"(scent marking:1.3), (marking territory:1.2), rubbing scent, nuzzling to mark, claiming scent, pheromone release, territorial marking, musk","clean, no scent, odorless, sterile",Scent marking — territorial/claiming behavior. Combos: FURRY_THEME_Primal; FURRY_THEME_Pack_Alpha; FURRY_Wolf_Anthro; FURRY_Fox_Anthro.,ACTION
ACTION_Tail_Wag,"(tail wagging:1.3), (happy tail:1.2), excited tail, wagging motion, tail blur from speed, enthusiastic tail, pleased tail movement","tail still, no tail, tail down, drooping",Tail wagging — excitement/happiness indicator. Combos: FURRY_Dog_Anthro; FURRY_Fox_Anthro; FURRY_Wolf_Anthro; emotional states.,ACTION
ACTION_Tail_Wrap,"(tail wrapped around partner:1.3), (tail coiling:1.2), prehensile tail holding, tail embrace, tail around waist, tail around leg, affectionate tail curl, tail bondage","no tail, tail limp, tail hidden",Tail wrapping around partner — intimate or restraining. Combos: FURRY_Snake_Naga (coil); FURRY_Cat_Anthro; FURRY_Fox_Anthro (fluffy wrap).,ACTION
ACTION_Tongue_Bath,"(tongue bath:1.3), (full body licking:1.2), licking entire body, tongue all over, animal bathing, thorough licking, sensual tongue cleaning, wet tongue on skin","water bath, shower, no tongue, no contact",Full body tongue bath — primal cleaning/worship. Combos: FURRY_ACTION_Grooming; FURRY_ACTION_Long_Tongue; STATE_Sweaty_Wet.,ACTION
BODY_Ass_Huge,"1girl, (huge ass:1.4), (enormous butt:1.3), ass bigger than head, massive rear, oversized buttocks, extreme bubble butt, impossibly large ass","flat ass, small butt, normal proportions, petite",Exaggerated huge ass. Combos: BODY_Thicc_Voluptuous; CAMERA_Ass_Focus; ACTION_Ass_Worship; THEME_QoS_Lifestyle.,BODY
BODY_BBW,"(chubby anthro:1.3), (fat furry:1.2), plus-size anthro, round belly furry, soft body anthro, overweight furry, pudgy anthro, pillowy body","thin, athletic, muscular, slim",BBW / chubby furry body. Combos: FURRY_Bear_Anthro; FURRY_Pig_Anthro; FURRY_Cow_Anthro.,BODY
BODY_BBW_Plus_Size,"1girl, bbw, plus size, chubby, fat belly, thick body, soft belly, plump body, heavy body, chunky, big belly, love handles, thick arms, massive thighs","skinny, thin, slender, fit, toned, muscular, petite, penis",BBW and plus size body type,BODY
BODY_Digitigrade,"(digitigrade legs:1.4), (animal legs:1.3), walking on toes, reverse-jointed legs, paw feet, animal leg anatomy, digitigrade stance, hock-jointed legs","plantigrade, flat feet, human legs, human feet",Digitigrade leg anatomy — animal-jointed. Stacks with any species. Opposite of plantigrade (flat/human-like feet).,BODY
BODY_Fluffy,"(extra fluffy:1.4), (extremely fluffy fur:1.3), thick fluffy coat, puffy fur, dense soft fur, cloud-like fluffiness, voluminous fur, cotton-like fur body","smooth, sleek, scales, hairless, short fur, wet",Extra fluffy fur. Stacks with any furred species. Combos: FURRY_Moth_Anthro; FURRY_Sheep_Anthro; FURRY_Fox_Anthro; FURRY_Red_Panda_Anthro.,BODY
BODY_Hourglass_Perfect,"1girl, hourglass figure, perfect proportions, slim waist, wide hips, large breasts, balanced figure, stunning figure","flat, boxy, straight body, shapeless, (bad proportions:1.3), penis",Perfect hourglass proportions,BODY
BODY_Macro,"(macro furry:1.4), (giant anthro:1.3), enormous size, towering anthro, kaiju scale, building-sized furry, tiny people around, massive furry creature","normal size, small, micro, petite, average height",Macro / giant furry — kaiju-scale. Combos: FURRY_THEME_Size_Play; FURRY_Dragon_Anthro; FURRY_Elephant_Anthro.,BODY
BODY_Male_Average,"1boy, (average male body:1.2), normal male build, regular physique, everyday male, typical male body, not muscular, not fat, average male","female, extremely muscular, obese",Average male body. Universal for male characters. Combos: any GROUP; THEME_NTR_Cheating; SCENE setups.,BODY
BODY_Male_BBC,"1boy, (dark skinned male:1.4), (black male:1.3), (huge penis:1.4), (BBC:1.3), dark skin, muscular, large penis, veiny cock, massive dark cock, ebony skin","white skin, pale, small penis, female, average size",Black male with BBC — dedicated body style. Replaces manual THEME_Interracial_BBC + BODY_Male_Muscular stacking. Combos: THEME_QoS_Lifestyle; THEME_Interracial_BBC.,BODY
BODY_Male_Muscular,"1boy, (muscular male:1.3), (athletic male body:1.2), defined muscles, abs, broad shoulders, strong male body, fit male physique, six pack","female, fat, scrawny, skinny male",Muscular male body. Combos: RACE_Orc_Male; THEME_Maledom; GROUP_MMF; THEME_Interracial_BBC.,BODY
BODY_Micro,"(micro furry:1.4), (tiny anthro:1.3), miniature anthro, palm-sized furry, insect-scale, extremely small anthro, held in hand, micro size furry character","normal size, large, macro, giant, average",Micro / tiny furry — hand-sized. Combos: FURRY_THEME_Size_Play; FURRY_Mouse_Anthro; FURRY_BODY_Petite.,BODY
BODY_Muscular,"(muscular anthro:1.3), (athletic furry body:1.2), defined muscles under fur, strong build, powerful furry physique, broad shoulders, toned anthro, abs visible through fur","skinny, thin, frail, chubby, obese",Muscular furry body. Combos: FURRY_Wolf_Anthro; FURRY_Tiger_Anthro; FURRY_Lion_Anthro; FURRY_Horse_Anthro.,BODY
BODY_Muscular_Fit,"1girl, muscular female, athletic body, toned, abs, defined muscles, strong body, fit physique, amazon, six pack, firm body, biceps","soft, flabby, skinny, obese, penis",Muscular and athletic female,BODY
BODY_Petite,"(petite anthro:1.3), (small furry body:1.2), short stature anthro, tiny furry, delicate frame, small but adult, diminutive anthro","tall, large, muscular, macro, huge, underage",Petite / small adult furry body. Combos: FURRY_Mouse_Anthro; FURRY_Red_Panda_Anthro; FURRY_Gecko_Anthro.,BODY
BODY_Petite_Small,"1girl, petite body, small frame, short, small breasts, thin waist, delicate, tiny body, small stature, cute body","tall, large, big, bulky, muscular, penis, underage",Adult petite body type,BODY
BODY_Plantigrade,"(plantigrade legs:1.3), (flat footed anthro:1.2), human-like leg stance, flat feet anthro, full sole on ground, human proportioned legs with fur","digitigrade, reverse-jointed, hock legs, animal legs",Plantigrade leg anatomy — human-like foot placement. More humanized look. Stacks with any species.,BODY
BODY_Pregnant_Gravid,"1girl, pregnant, pregnant belly, gravid, (large belly:1.3), round belly, baby bump, swollen belly, maternal, expecting","flat stomach, slim belly, penis",Pregnant body state,BODY
BODY_Shortstack,"(shortstack anthro:1.3), (short curvy furry:1.2), petite but busty, short and thick, compact curvy anthro, small stature big curves, shortstack furry girl","tall, thin, flat, no curves, average height",Shortstack furry — short + very curvy. Combos: FURRY_Mouse_Anthro; FURRY_Raccoon_Anthro; FURRY_Goblin style.,BODY
BODY_Sleek,"(sleek anthro body:1.3), (smooth short fur:1.2), streamlined body, aerodynamic build, tight fur coat, lithe and smooth, glossy short fur, athletic lean","fluffy, long fur, bulky, chubby, rough",Sleek / streamlined furry body — short tight fur. Combos: FURRY_Panther_Anthro; FURRY_Shark_Anthro; FURRY_Dolphin_Anthro; FURRY_Otter_Anthro.,BODY
BODY_Tall_Amazon,"1girl, (tall female:1.3), (amazon body:1.2), towering height, very tall woman, long legs, dominant height, height advantage","short, petite, average height",Tall amazon body. Combos: THEME_Size_Difference; THEME_Femdom; BODY_Muscular_Fit.,BODY
BODY_Tanned,"1girl, (tanned skin:1.3), (tan lines:1.2), sun-kissed skin, bronzed skin, dark tan, bikini tan lines, brown skin from sun, golden brown skin","pale, white skin, albino, no tan",Tanned skin with optional tan lines. Combos: SCENE_Beach; CLOTHES_Micro_Bikini; ARCHETYPE_Gyaru. Note: for dark-skinned races use RACE styles instead.,BODY
BODY_Taur,"(taur body:1.4), (centaur-like anthro:1.3), four-legged lower body, furry centaur, anthro upper body on quadruped lower, taur form, four legs plus upper torso","biped, two legs, normal anthro, human","Taur body — anthro upper, quadruped lower (like centaur but any species). Combos: FURRY_Horse_Anthro; FURRY_Wolf_Anthro; FURRY_Dragon_Anthro.",BODY
BODY_Thicc,"(thicc anthro:1.3), (curvy furry body:1.2), wide hips anthro, thick thighs furry, voluptuous furry, plump anthro, heavy curves, large rear furry","thin, skinny, flat, petite, no curves",Thicc / curvy furry body. Combos: FURRY_Cow_Anthro; FURRY_Bear_Anthro; FURRY_Sheep_Anthro.,BODY
BODY_Thicc_Voluptuous,"1girl, voluptuous, thick thighs, wide hips, huge breasts, (curvy body:1.3), plump, soft body, hourglass figure, heavy breasts, meaty thighs, oppai, (smooth skin:1.1)","skinny, thin, slender, petite, flat chest, narrow hips, bony, penis, underage",Thick; curvy; voluptuous body type,BODY
BREASTS_Flat_Chest,"1girl, (flat chest:1.4), (no breasts:1.3), flat breasts, no chest, board flat, smooth chest, adult flat chest","large breasts, huge breasts, medium",Flat chest adult. Ensure adult character in prompt. Combos: BODY_Petite_Small; THEME_Size_Difference.,BREASTS
BREASTS_Huge_Focus,"1girl, (huge breasts:1.5), (gigantic breasts:1.4), (massive tits:1.4), oppai, breast focus, enormous breasts, sagging breasts, heavy breasts, bouncing breasts","flat chest, small breasts, medium breasts, male, penis",Extremely large breasts,BREASTS
BREASTS_Lactating,"1girl, lactating, breast milk, milk, leaking breasts, milk drops, dripping milk, engorged breasts, swollen nipples, lactation, milk squirt","dry, no milk, male, penis",Lactating breasts,BREASTS
